,시도별,연도,합계출산율,1인당 지역총소득,1인당 개인소득,고용률,조혼인율,평균초혼연령(남편),평균초혼연령(아내),아파트매매실거래가격지수_연평균,주택수,미취업여성 (천명),경력단절여성 (천명),사교육비_평균(만원),소비자물가지수
0,전국,2000,1.480,13860,8694,58.508333333333326,7.0,29.28,26.49,,,,,,63.151
1,서울특별시,2000,1.275,17194,9978,58.25,7.7,29.65,27.25,,,,,,61.82833333333334
2,부산광역시,2000,1.235,10933,8296,55.36666666666667,6.1,29.43,26.74,,,,,,62.7095
3,대구광역시,2000,1.378,10684,8274,55.99166666666667,6.4,29.10,26.51,,,,,,63.66833333333333
4,인천광역시,2000,1.473,10633,7651,58.175000000000004,7.1,29.21,26.39,,,,,,63.584916666666665
5,광주광역시,2000,1.636,10770,7969,53.39166666666667,7.0,28.98,26.17,,,,,,63.966499999999996
6,대전광역시,2000,1.501,12425,8230,54.80833333333334,7.0,28.92,26.31,,,,,,64.72291666666666
7,울산광역시,2000,1.633,25603,10271,57.56666666666667,6.7,29.13,26.15,,,,,,63.4065
8,세종특별자치시,2000,-,-,-,,-,-,-,,,,,,
9,경기도,2000,1.628,14940,9142,59.775000000000006,7.6,29.29,26.51,,,,,,62.911750000000005
10,충청북도,2000,1.583,11766,7694,57.925000000000004,6.4,28.68,25.70,,,,,,64.456
11,충청남도,2000,1.698,13203,8035,61.074999999999996,6.3,28.56,25.43,,,,,,64.09875
12,전북특별자치도,2000,1.595,10609,7684,56.550000000000004,5.7,28.81,25.72,,,,,,63.922333333333334
13,전라남도,2000,1.750,13171,7714,61.991666666666674,5.6,28.95,25.35,,,,,,64.454
14,경상북도,2000,1.578,13527,8116,62.99166666666667,6.1,28.83,25.90,,,,,,65.73408333333333
15,경상남도,2000,1.586,12784,8217,58.908333333333324,6.4,28.95,26.04,,,,,,63.845333333333336
16,제주특별자치도,2000,1.783,11154,8259,66.10833333333333,7.4,29.14,26.71,,,,,,64.35766666666667
17,전국,2001,1.309,14908,9120,59.03333333333333,6.7,29.55,26.78,,,,,,65.71908333333333
18,서울특별시,2001,1.111,19492,10511,58.75833333333333,7.5,29.88,27.52,,,,,,64.51225000000001
19,부산광역시,2001,1.103,11932,8584,55.89166666666667,5.8,29.68,27.04,,,,,,65.29066666666667
20,대구광역시,2001,1.216,11473,8622,56.99166666666667,5.9,29.43,26.77,,,,,,66.06116666666667
21,인천광역시,2001,1.324,11530,7997,59.13333333333333,6.7,29.38,26.64,,,,,,66.35583333333334
22,광주광역시,2001,1.421,11685,8540,54.9,6.4,29.20,26.51,,,,,,66.31175
23,대전광역시,2001,1.330,13329,8658,56.45833333333334,6.8,29.28,26.66,,,,,,67.198
24,울산광역시,2001,1.423,26782,11012,58.041666666666664,6.4,29.43,26.45,,,,,,65.91658333333334
25,세종특별자치시,2001,-,-,-,,-,-,-,,,,,,
26,경기도,2001,1.437,14948,9422,60.025,7.3,29.58,26.80,,,,,,65.5275
27,충청북도,2001,1.426,13063,8192,57.833333333333336,6.2,28.81,25.97,,,,,,66.77608333333333
28,충청남도,2001,1.532,14139,8349,61.28333333333334,5.8,28.85,25.70,,,,,,66.38983333333333
29,전북특별자치도,2001,1.426,11439,8189,57.425000000000004,5.1,29.14,26.02,,,,,,66.39383333333333
30,전라남도,2001,1.566,14088,8142,62.86666666666667,5.1,29.11,25.67,,,,,,66.65033333333334
31,경상북도,2001,1.402,14067,8611,63.475,5.7,29.08,26.16,,,,,,68.04033333333332
32,경상남도,2001,1.417,13991,8743,59.525,6.1,29.21,26.36,,,,,,66.33066666666666
33,제주특별자치도,2001,1.564,12163,8729,66.525,6.8,29.45,26.98,,,,,,66.28816666666667
34,전국,2002,1.178,16444,9820,60.04999999999999,6.3,29.77,27.01,,,,,,67.53441666666667
35,서울특별시,2002,1.006,21804,11463,59.5,7.1,30.12,27.78,,,,,,66.63975
36,부산광역시,2002,0.975,13090,9330,58.16666666666666,5.6,29.95,27.26,,,,,,66.96283333333334
37,대구광역시,2002,1.076,12483,9246,58.525,5.4,29.65,27.09,,,,,,67.65275
38,인천광역시,2002,1.185,13481,8700,60.125,6.6,29.58,26.85,,,,,,68.06716666666667
39,광주광역시,2002,1.264,12501,9011,56.63333333333333,5.9,29.47,26.74,,,,,,67.75633333333333
40,대전광역시,2002,1.207,14491,9288,58.458333333333336,6.5,29.51,26.93,,,,,,68.773
41,울산광역시,2002,1.242,29386,11896,60.008333333333326,6.1,29.62,26.55,,,,,,67.62333333333333
42,세종특별자치시,2002,-,-,-,,-,-,-,,,,,,
43,경기도,2002,1.305,16720,10122,60.75833333333333,7.0,29.76,27.02,,,,,,67.57708333333333
44,충청북도,2002,1.294,13487,8658,58.925000000000004,5.8,29.16,26.26,,,,,,67.9525
45,충청남도,2002,1.361,15557,8929,62.125,5.4,29.20,26.00,,,,,,67.795
46,전북특별자치도,2002,1.275,11951,8517,57.18333333333334,5.4,29.41,26.27,,,,,,67.72033333333333
47,전라남도,2002,1.391,15473,8716,64.325,4.8,29.38,25.86,,,,,,67.99300000000001
48,경상북도,2002,1.232,15272,9207,63.866666666666674,5.3,29.37,26.43,,,,,,69.23958333333333
49,경상남도,2002,1.272,14997,9291,59.958333333333336,5.7,29.46,26.59,,,,,,67.98566666666666
50,제주특별자치도,2002,1.394,12969,9314,67.85,6.5,29.62,27.09,,,,,,68.18158333333334
51,전국,2003,1.191,17548,10389,59.400000000000006,6.3,30.14,27.27,,,,,,69.90816666666667
52,서울특별시,2003,1.014,23579,12285,59.291666666666664,7.1,30.51,28.02,,,,,,69.17958333333333
53,부산광역시,2003,0.988,13755,9685,55.25833333333333,5.4,30.35,27.60,,,,,,69.36641666666667
54,대구광역시,2003,1.116,12851,9494,57.73333333333333,5.5,29.90,27.33,,,,,,69.88641666666668
55,인천광역시,2003,1.213,14614,9280,59.208333333333336,6.1,30.03,27.11,,,,,,70.24983333333334
56,광주광역시,2003,1.278,13047,9610,54.83333333333332,5.6,29.80,27.01,,,,,,69.98450000000001
57,대전광역시,2003,1.221,15826,10072,57.19166666666666,6.3,29.81,27.16,,,,,,70.94108333333334
58,울산광역시,2003,1.280,29152,12603,59.258333333333326,6.1,29.83,26.88,,,,,,69.92666666666666
59,세종특별자치시,2003,-,-,-,,-,-,-,,,,,,
60,경기도,2003,1.321,17493,10608,59.83333333333334,6.8,30.11,27.31,,,,,,69.86825
61,충청북도,2003,1.270,14361,9030,57.399999999999984,5.6,29.53,26.50,,,,,,70.35275
62,충청남도,2003,1.358,17564,9454,61.658333333333324,5.5,29.56,26.28,,,,,,70.27883333333334
63,전북특별자치도,2003,1.274,12760,9242,57.449999999999996,5.2,29.79,26.54,,,,,,70.03733333333334
64,전라남도,2003,1.389,16577,9219,64.24166666666667,4.8,29.86,26.26,,,,,,70.13058333333333
65,경상북도,2003,1.253,17019,9593,63.56666666666666,5.2,29.72,26.76,,,,,,71.01483333333333
66,경상남도,2003,1.290,15989,9912,61.49166666666667,5.6,29.70,26.82,,,,,,70.44891666666666
67,제주특별자치도,2003,1.438,13580,9679,69.47500000000001,6.1,30.06,27.46,,,,,,70.40191666666666
68,전국,2004,1.164,18995,11063,60.050000000000004,6.4,30.53,27.52,,,,,,72.41833333333334
