,시도별,연도,고용률
18,전국,2000,58.508333333333326
19,서울특별시,2000,58.25
20,부산광역시,2000,55.36666666666667
21,대구광역시,2000,55.99166666666667
22,인천광역시,2000,58.175000000000004
23,광주광역시,2000,53.39166666666667
24,대전광역시,2000,54.80833333333334
25,울산광역시,2000,57.56666666666667
26,세종특별자치시,2000,
27,경기도,2000,59.775000000000006
28,강원특별자치도,2000,57.291666666666664
29,충청북도,2000,57.925000000000004
30,충청남도,2000,61.074999999999996
31,전북특별자치도,2000,56.550000000000004
32,전라남도,2000,61.991666666666674
33,경상북도,2000,62.99166666666667
34,경상남도,2000,58.908333333333324
35,제주도,2000,66.10833333333333
36,전국,2001,59.03333333333333
37,서울특별시,2001,58.75833333333333
38,부산광역시,2001,55.89166666666667
39,대구광역시,2001,56.99166666666667
40,인천광역시,2001,59.13333333333333
41,광주광역시,2001,54.9
42,대전광역시,2001,56.45833333333334
43,울산광역시,2001,58.041666666666664
44,세종특별자치시,2001,
45,경기도,2001,60.025
46,강원특별자치도,2001,56.69166666666666
47,충청북도,2001,57.833333333333336
48,충청남도,2001,61.28333333333334
49,전북특별자치도,2001,57.425000000000004
50,전라남도,2001,62.86666666666667
51,경상북도,2001,63.475
52,경상남도,2001,59.525
53,제주도,2001,66.525
54,전국,2002,60.04999999999999
55,서울특별시,2002,59.5
56,부산광역시,2002,58.16666666666666
57,대구광역시,2002,58.525
58,인천광역시,2002,60.125
59,광주광역시,2002,56.63333333333333
60,대전광역시,2002,58.458333333333336
61,울산광역시,2002,60.008333333333326
62,세종특별자치시,2002,
63,경기도,2002,60.75833333333333
64,강원특별자치도,2002,58.56666666666666
65,충청북도,2002,58.925000000000004
66,충청남도,2002,62.125
67,전북특별자치도,2002,57.18333333333334
68,전라남도,2002,64.325
69,경상북도,2002,63.866666666666674
70,경상남도,2002,59.958333333333336
71,제주도,2002,67.85
72,전국,2003,59.400000000000006
73,서울특별시,2003,59.291666666666664
74,부산광역시,2003,55.25833333333333
75,대구광역시,2003,57.73333333333333
76,인천광역시,2003,59.208333333333336
77,광주광역시,2003,54.83333333333332
78,대전광역시,2003,57.19166666666666
79,울산광역시,2003,59.258333333333326
80,세종특별자치시,2003,
81,경기도,2003,59.83333333333334
82,강원특별자치도,2003,57.199999999999996
83,충청북도,2003,57.399999999999984
84,충청남도,2003,61.658333333333324
85,전북특별자치도,2003,57.449999999999996
86,전라남도,2003,64.24166666666667
87,경상북도,2003,63.56666666666666
88,경상남도,2003,61.49166666666667
89,제주도,2003,69.47500000000001
90,전국,2004,60.050000000000004
91,서울특별시,2004,60.28333333333334
92,부산광역시,2004,55.65000000000001
93,대구광역시,2004,58.71666666666666
94,인천광역시,2004,59.241666666666674
95,광주광역시,2004,55.44166666666667
96,대전광역시,2004,56.98333333333333
97,울산광역시,2004,59.74999999999999
98,세종특별자치시,2004,
99,경기도,2004,60.66666666666666
100,강원특별자치도,2004,57.99166666666667
101,충청북도,2004,58.43333333333333
102,충청남도,2004,63.15833333333334
103,전북특별자치도,2004,57.36666666666667
104,전라남도,2004,64.14166666666667
105,경상북도,2004,63.93333333333334
106,경상남도,2004,62.08333333333334
107,제주도,2004,68.6
108,전국,2005,59.89166666666667
109,서울특별시,2005,60.525000000000006
110,부산광역시,2005,55.849999999999994
111,대구광역시,2005,58.31666666666666
112,인천광역시,2005,58.88333333333333
113,광주광역시,2005,56.050000000000004
114,대전광역시,2005,55.76666666666666
115,울산광역시,2005,58.958333333333336
116,세종특별자치시,2005,
117,경기도,2005,60.458333333333336
118,강원특별자치도,2005,57.59166666666667
119,충청북도,2005,58.291666666666664
120,충청남도,2005,62.67499999999999
121,전북특별자치도,2005,57.46666666666667
122,전라남도,2005,64.2
123,경상북도,2005,63.574999999999996
124,경상남도,2005,61.00833333333333
125,제주도,2005,68.85
126,전국,2006,60.01666666666667
127,서울특별시,2006,60.54166666666668
128,부산광역시,2006,56.06666666666667
129,대구광역시,2006,57.84166666666667
130,인천광역시,2006,59.46666666666666
131,광주광역시,2006,55.675000000000004
132,대전광역시,2006,56.166666666666664
133,울산광역시,2006,58.125
134,세종특별자치시,2006,
135,경기도,2006,60.724999999999994
136,강원특별자치도,2006,58.29166666666666
