"시도별",1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1995,1996,1996,1997,1997,1998,1998,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022 p),2022 p),2022 p),2022 p)
"시도별",1인당 지역내총생산,1인당 지역내총생산,1인당 지역내총생산,1인당 지역내총생산,1인당 지역내총생산,1인당 지역내총생산,1인당 지역내총생산,1인당 지역내총생산,1인당 지역내총생산,1인당 지역내총생산,1인당 지역내총생산,1인당 민간소비,1인당 지역내총생산,1인당 민간소비,1인당 지역내총생산,1인당 민간소비,1인당 지역내총생산,1인당 민간소비,1인당 지역내총생산,1인당 민간소비,1인당 지역내총생산,1인당 지역총소득,1인당 개인소득,1인당 민간소비,1인당 지역내총생산,1인당 지역총소득,1인당 개인소득,1인당 민간소비,1인당 지역내총생산,1인당 지역총소득,1인당 개인소득,1인당 민간소비,1인당 지역내총생산,1인당 지역총소득,1인당 개인소득,1인당 민간소비,1인당 지역내총생산,1인당 지역총소득,1인당 개인소득,1인당 민간소비,1인당 지역내총생산,1인당 지역총소득,1인당 개인소득,1인당 민간소비,1인당 지역내총생산,1인당 지역총소득,1인당 개인소득,1인당 민간소비,1인당 지역내총생산,1인당 지역총소득,1인당 개인소득,1인당 민간소비,1인당 지역내총생산,1인당 지역총소득,1인당 개인소득,1인당 민간소비,1인당 지역내총생산,1인당 지역총소득,1인당 개인소득,1인당 민간소비,1인당 지역내총생산,1인당 지역총소득,1인당 개인소득,1인당 민간소비,1인당 지역내총생산,1인당 지역총소득,1인당 개인소득,1인당 민간소비,1인당 지역내총생산,1인당 지역총소득,1인당 개인소득,1인당 민간소비,1인당 지역내총생산,1인당 지역총소득,1인당 개인소득,1인당 민간소비,1인당 지역내총생산,1인당 지역총소득,1인당 개인소득,1인당 민간소비,1인당 지역내총생산,1인당 지역총소득,1인당 개인소득,1인당 민간소비,1인당 지역내총생산,1인당 지역총소득,1인당 개인소득,1인당 민간소비,1인당 지역내총생산,1인당 지역총소득,1인당 개인소득,1인당 민간소비,1인당 지역내총생산,1인당 지역총소득,1인당 개인소득,1인당 민간소비,1인당 지역내총생산,1인당 지역총소득,1인당 개인소득,1인당 민간소비,1인당 지역내총생산,1인당 지역총소득,1인당 개인소득,1인당 민간소비,1인당 지역내총생산,1인당 지역총소득,1인당 개인소득,1인당 민간소비,1인당 지역내총생산,1인당 지역총소득,1인당 개인소득,1인당 민간소비
"전국",2245,2597,2994,3548,3971,4794,5757,6519,7299,8522,9871,5094,10844,5794,11863,6322,11691,5861,12757,6707,13952,13860,8694,7571,15009,14908,9120,8310,16505,16444,9820,9263,17609,17548,10389,9500,19027,18995,11063,9813,19902,19762,11551,10443,20878,20817,12058,11074,22456,22399,12636,11780,23637,23643,13425,12365,24493,24455,13811,12657,26788,26828,14558,13503,27901,28074,15137,14240,28793,29093,15711,14693,29849,30038,16432,15004,30861,31010,17006,15357,32556,32658,18063,15772,34042,34167,18520,16276,35831,35977,19204,16996,36866,37014,19910,17624,37274,37596,20661,18057,37515,37842,21342,17320,40271,40723,22059,18431,41948,42563,23388,20078
"서울특별시",2377,2779,3230,3701,4185,5086,6185,7049,8104,9433,10891,5702,12168,6603,13419,7145,13402,6580,14678,7459,16383,17194,9978,8202,17698,19492,10511,9347,19847,21804,11463,10728,21134,23579,12285,11349,21826,25090,13044,12006,23151,26279,13525,12779,24420,27315,14008,13497,26478,30371,15023,14354,27894,31939,15783,15028,28967,32874,16080,15294,31053,36359,17277,16288,32407,38574,18252,17169,33312,39215,18795,17617,34105,39570,19525,17751,35113,40577,19832,17996,37236,41857,20857,18436,39356,44113,21295,19203,41374,46715,22237,20197,43664,48362,23323,21314,45118,48693,23978,21991,46221,49006,24226,21185,49680,54571,24950,22603,51612,57236,26112,24455
"부산광역시",1932,2174,2495,2829,3036,3787,4470,4795,5294,6074,7024,5064,7821,5792,8467,6407,8588,5850,9277,6733,9790,10933,8296,7567,10980,11932,8584,8129,11901,13090,9330,8960,13122,13755,9685,9141,14124,14293,10164,9303,14738,15263,10695,9812,15386,16272,11323,10441,16703,17592,11855,11172,18167,18716,12699,11780,18208,18996,12993,12166,19223,19724,13605,13145,19700,21394,14396,13990,20554,22742,15098,14536,21217,23500,15651,14941,22467,24980,16147,15329,23956,25773,17044,15826,24815,26886,17525,16242,25650,27592,18189,17176,26464,28287,18868,17664,27577,29259,19723,18134,27204,29643,20460,17365,29395,31414,21035,18712,31611,32293,22577,20637
"대구광역시",1850,2166,2546,2845,3121,3819,4332,4725,5081,5912,6750,5229,7513,5958,8237,6500,7861,5957,8502,6880,9195,10684,8274,7732,9804,11473,8622,8283,10694,12483,9246,9140,11313,12851,9494,9321,12273,13926,10052,9349,12809,14362,10693,10061,13580,15228,11193,10681,14558,15885,11503,11281,15049,16826,12279,11813,15289,17368,12851,12001,16379,18499,13446,12786,17170,19985,13969,13513,18078,21093,14554,14007,18946,21992,15320,14465,19725,23391,16031,14890,20991,24660,17226,15506,21602,25553,17848,16214,22310,26561,18350,16826,23151,27004,18555,17209,23883,27700,19196,17964,23910,27934,20229,17276,25543,29552,20886,18362,26736,31056,22368,19903
"인천광역시",2743,3090,3484,4131,4559,5422,6645,7066,7609,8413,9839,4918,10663,5532,11610,6002,10651,5578,11147,6376,11875,10633,7651,7248,13110,11530,7997,7877,14956,13481,8700,8622,15778,14614,9280,8802,17262,15795,9937,8980,17844,16779,10344,9480,18838,18100,10769,10083,20455,19729,11151,10831,19970,20358,11843,11313,20871,20897,12334,11602,23234,22945,13214,12449,23384,23937,13600,13086,23770,24491,14181,13314,24526,25483,14829,13606,26068,26978,15507,14019,27798,28034,16598,14386,29120,29680,17222,14873,30284,30990,17884,15431,30194,31363,18659,16090,30584,32873,19582,16552,30367,32724,20310,16059,33551,35499,21170,17176,35295,37442,22406,18706
"광주광역시",-,-,2181,2846,3199,4002,4640,5257,5769,6703,7759,5143,8646,5875,9187,6375,8563,5794,9025,6692,9862,10770,7969,7509,10670,11685,8540,8167,11700,12501,9011,9006,12068,13047,9610,9220,12723,13592,10103,9393,13904,14815,10865,9933,14938,15846,11389,10559,16116,17373,12137,11262,16525,17884,12902,11858,17031,18511,13298,12229,18667,19602,13439,13018,19093,20544,13815,13824,19799,21798,14662,14222,20789,22992,15454,14659,21944,24674,16225,15007,23139,25687,17459,15502,24511,27371,18232,16155,25240,28759,18926,17049,26654,29759,19868,17841,27799,31186,20791,18326,28433,31674,21591,17602,29779,33182,22209,18800,30900,34844,23669,20361
"대전광역시",-,-,-,-,3919,4815,5745,6344,6936,7442,8167,4904,8973,5568,9733,6065,9580,5715,9964,6583,10982,12425,8230,7424,11556,13329,8658,8115,12809,14491,9288,9008,13741,15826,10072,9184,14592,16696,10563,9576,15019,16138,11133,10202,15657,17010,11755,10847,16513,17867,12339,11502,17426,18467,13070,12111,18518,19901,13701,12405,19950,20855,14373,13257,20728,22288,14992,14054,21347,23540,15537,14549,21793,23858,16253,14809,22497,25308,16946,15131,24094,27125,18229,15625,25606,28125,18741,16020,26533,30102,19314,16798,27214,30529,19649,17546,28561,31566,20648,18115,29757,32080,21707,17715,31590,34013,22565,19136,33682,35848,24220,21065
"울산광역시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26062,5683,27555,6694,29515,25603,10271,7502,31097,26782,11012,8165,34404,29386,11896,9084,34290,29152,12603,9277,40982,32370,13422,9693,41016,32789,14129,10598,42229,34625,14426,11317,46310,38917,15502,12065,48794,41758,16438,12636,46624,41432,16950,12949,55585,48489,17634,13841,61755,49677,18594,14611,62242,49348,18941,15242,62653,48678,19782,15665,60925,46025,20142,16172,62605,49381,21348,16575,64021,52204,21422,17056,65370,52237,21956,17946,63793,52694,21655,18090,65112,54190,22617,18574,60895,53908,23863,17816,69392,57613,24897,19207,77511,60971,26066,21097
