,시도별,연도,1인당 개인소득
0,전국,2000,8694
1,서울특별시,2000,9978
2,부산광역시,2000,8296
3,대구광역시,2000,8274
4,인천광역시,2000,7651
5,광주광역시,2000,7969
6,대전광역시,2000,8230
7,울산광역시,2000,10271
8,세종특별자치시,2000,-
9,경기도,2000,9142
10,강원도,2000,7442
11,충청북도,2000,7694
12,충청남도,2000,8035
13,전라북도,2000,7684
14,전라남도,2000,7714
15,경상북도,2000,8116
16,경상남도,2000,8217
17,제주특별자치도,2000,8259
18,전국,2001,9120
19,서울특별시,2001,10511
20,부산광역시,2001,8584
21,대구광역시,2001,8622
22,인천광역시,2001,7997
23,광주광역시,2001,8540
24,대전광역시,2001,8658
25,울산광역시,2001,11012
26,세종특별자치시,2001,-
27,경기도,2001,9422
28,강원도,2001,7850
29,충청북도,2001,8192
30,충청남도,2001,8349
31,전라북도,2001,8189
32,전라남도,2001,8142
33,경상북도,2001,8611
34,경상남도,2001,8743
35,제주특별자치도,2001,8729
36,전국,2002,9820
37,서울특별시,2002,11463
38,부산광역시,2002,9330
39,대구광역시,2002,9246
40,인천광역시,2002,8700
41,광주광역시,2002,9011
42,대전광역시,2002,9288
43,울산광역시,2002,11896
44,세종특별자치시,2002,-
45,경기도,2002,10122
46,강원도,2002,8491
47,충청북도,2002,8658
48,충청남도,2002,8929
49,전라북도,2002,8517
50,전라남도,2002,8716
51,경상북도,2002,9207
52,경상남도,2002,9291
53,제주특별자치도,2002,9314
54,전국,2003,10389
55,서울특별시,2003,12285
56,부산광역시,2003,9685
57,대구광역시,2003,9494
58,인천광역시,2003,9280
59,광주광역시,2003,9610
60,대전광역시,2003,10072
61,울산광역시,2003,12603
62,세종특별자치시,2003,-
63,경기도,2003,10608
64,강원도,2003,8960
65,충청북도,2003,9030
66,충청남도,2003,9454
67,전라북도,2003,9242
68,전라남도,2003,9219
69,경상북도,2003,9593
70,경상남도,2003,9912
71,제주특별자치도,2003,9679
72,전국,2004,11063
73,서울특별시,2004,13044
74,부산광역시,2004,10164
75,대구광역시,2004,10052
76,인천광역시,2004,9937
77,광주광역시,2004,10103
78,대전광역시,2004,10563
79,울산광역시,2004,13422
80,세종특별자치시,2004,-
81,경기도,2004,11299
82,강원도,2004,9589
83,충청북도,2004,9758
84,충청남도,2004,10075
85,전라북도,2004,9844
86,전라남도,2004,10036
87,경상북도,2004,10315
88,경상남도,2004,10636
89,제주특별자치도,2004,10082
90,전국,2005,11551
91,서울특별시,2005,13525
92,부산광역시,2005,10695
93,대구광역시,2005,10693
94,인천광역시,2005,10344
95,광주광역시,2005,10865
96,대전광역시,2005,11133
97,울산광역시,2005,14129
98,세종특별자치시,2005,-
99,경기도,2005,11622
100,강원도,2005,10036
101,충청북도,2005,10403
102,충청남도,2005,10417
103,전라북도,2005,10448
104,전라남도,2005,10644
105,경상북도,2005,10946
106,경상남도,2005,11101
107,제주특별자치도,2005,10552
108,전국,2006,12058
109,서울특별시,2006,14008
110,부산광역시,2006,11323
111,대구광역시,2006,11193
112,인천광역시,2006,10769
113,광주광역시,2006,11389
114,대전광역시,2006,11755
115,울산광역시,2006,14426
116,세종특별자치시,2006,-
117,경기도,2006,12196
118,강원도,2006,10530
119,충청북도,2006,10840
120,충청남도,2006,10994
121,전라북도,2006,10922
122,전라남도,2006,11110
123,경상북도,2006,11202
124,경상남도,2006,11611
125,제주특별자치도,2006,11125
126,전국,2007,12636
127,서울특별시,2007,15023
128,부산광역시,2007,11855
129,대구광역시,2007,11503
130,인천광역시,2007,11151
131,광주광역시,2007,12137
132,대전광역시,2007,12339
133,울산광역시,2007,15502
134,세종특별자치시,2007,-
135,경기도,2007,12740
