,시도별,연도,1인당 지역총소득
0,전국,2000,13860
1,서울특별시,2000,17194
2,부산광역시,2000,10933
3,대구광역시,2000,10684
4,인천광역시,2000,10633
5,광주광역시,2000,10770
6,대전광역시,2000,12425
7,울산광역시,2000,25603
8,세종특별자치시,2000,-
9,경기도,2000,14940
10,강원도,2000,10791
11,충청북도,2000,11766
12,충청남도,2000,13203
13,전북특별자치도,2000,10609
14,전라남도,2000,13171
15,경상북도,2000,13527
16,경상남도,2000,12784
17,제주특별자치도,2000,11154
18,전국,2001,14908
19,서울특별시,2001,19492
20,부산광역시,2001,11932
21,대구광역시,2001,11473
22,인천광역시,2001,11530
23,광주광역시,2001,11685
24,대전광역시,2001,13329
25,울산광역시,2001,26782
26,세종특별자치시,2001,-
27,경기도,2001,14948
28,강원도,2001,11725
29,충청북도,2001,13063
30,충청남도,2001,14139
31,전북특별자치도,2001,11439
32,전라남도,2001,14088
33,경상북도,2001,14067
34,경상남도,2001,13991
35,제주특별자치도,2001,12163
36,전국,2002,16444
37,서울특별시,2002,21804
38,부산광역시,2002,13090
39,대구광역시,2002,12483
40,인천광역시,2002,13481
41,광주광역시,2002,12501
42,대전광역시,2002,14491
43,울산광역시,2002,29386
44,세종특별자치시,2002,-
45,경기도,2002,16720
46,강원도,2002,12592
47,충청북도,2002,13487
48,충청남도,2002,15557
49,전북특별자치도,2002,11951
50,전라남도,2002,15473
51,경상북도,2002,15272
52,경상남도,2002,14997
53,제주특별자치도,2002,12969
54,전국,2003,17548
55,서울특별시,2003,23579
56,부산광역시,2003,13755
57,대구광역시,2003,12851
58,인천광역시,2003,14614
59,광주광역시,2003,13047
60,대전광역시,2003,15826
61,울산광역시,2003,29152
62,세종특별자치시,2003,-
63,경기도,2003,17493
64,강원도,2003,13433
65,충청북도,2003,14361
66,충청남도,2003,17564
67,전북특별자치도,2003,12760
68,전라남도,2003,16577
69,경상북도,2003,17019
70,경상남도,2003,15989
71,제주특별자치도,2003,13580
72,전국,2004,18995
73,서울특별시,2004,25090
74,부산광역시,2004,14293
75,대구광역시,2004,13926
76,인천광역시,2004,15795
77,광주광역시,2004,13592
78,대전광역시,2004,16696
79,울산광역시,2004,32370
80,세종특별자치시,2004,-
81,경기도,2004,19172
82,강원도,2004,14058
83,충청북도,2004,16103
84,충청남도,2004,19695
85,전북특별자치도,2004,13523
86,전라남도,2004,18415
87,경상북도,2004,19585
88,경상남도,2004,17087
89,제주특별자치도,2004,14859
90,전국,2005,19762
91,서울특별시,2005,26279
92,부산광역시,2005,15263
93,대구광역시,2005,14362
94,인천광역시,2005,16779
95,광주광역시,2005,14815
96,대전광역시,2005,16138
97,울산광역시,2005,32789
98,세종특별자치시,2005,-
99,경기도,2005,19343
100,강원도,2005,15049
101,충청북도,2005,16231
102,충청남도,2005,20372
103,전북특별자치도,2005,14401
104,전라남도,2005,19110
105,경상북도,2005,21513
106,경상남도,2005,18193
107,제주특별자치도,2005,14762
108,전국,2006,20817
109,서울특별시,2006,27315
110,부산광역시,2006,16272
111,대구광역시,2006,15228
112,인천광역시,2006,18100
113,광주광역시,2006,15846
114,대전광역시,2006,17010
115,울산광역시,2006,34625
116,세종특별자치시,2006,-
117,경기도,2006,20593
118,강원도,2006,16156
119,충청북도,2006,17396
120,충청남도,2006,21450
121,전북특별자치도,2006,15344
122,전라남도,2006,20080
123,경상북도,2006,21536
124,경상남도,2006,19258
125,제주특별자치도,2006,15659
126,전국,2007,22399
127,서울특별시,2007,30371
128,부산광역시,2007,17592
129,대구광역시,2007,15885
130,인천광역시,2007,19729
131,광주광역시,2007,17373
132,대전광역시,2007,17867
133,울산광역시,2007,38917
134,세종특별자치시,2007,-
135,경기도,2007,21415
136,강원도,2007,17280
137,충청북도,2007,18391
138,충청남도,2007,22905
139,전북특별자치도,2007,16168
140,전라남도,2007,21970
141,경상북도,2007,22157
142,경상남도,2007,20968
143,제주특별자치도,2007,16350
144,전국,2008,23643
145,서울특별시,2008,31939
146,부산광역시,2008,18716
147,대구광역시,2008,16826
148,인천광역시,2008,20358
149,광주광역시,2008,17884
150,대전광역시,2008,18467
151,울산광역시,2008,41758
152,세종특별자치시,2008,-
153,경기도,2008,22099
154,강원도,2008,17844
155,충청북도,2008,19290
156,충청남도,2008,24028
157,전북특별자치도,2008,17346
158,전라남도,2008,22745
159,경상북도,2008,25656
160,경상남도,2008,23121
161,제주특별자치도,2008,17358
162,전국,2009,24455
163,서울특별시,2009,32874
164,부산광역시,2009,18996
165,대구광역시,2009,17368
166,인천광역시,2009,20897
167,광주광역시,2009,18511
168,대전광역시,2009,19901
169,울산광역시,2009,41432
170,세종특별자치시,2009,-
171,경기도,2009,22937
172,강원도,2009,18906
173,충청북도,2009,20826
174,충청남도,2009,26683
175,전북특별자치도,2009,18578
176,전라남도,2009,24109
177,경상북도,2009,25287
178,경상남도,2009,23429
