"행정구역별(읍면동)",2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024
"행정구역별(읍면동)",주택,단독주택-계,단독주택-일반,단독주택-다가구,단독주택-영업겸용,아파트,연립주택,다세대주택,비주거용 건물 내 주택,주택,단독주택-계,단독주택-일반,단독주택-다가구,단독주택-영업겸용,아파트,연립주택,다세대주택,비주거용 건물 내 주택,주택,단독주택-계,단독주택-일반,단독주택-다가구,단독주택-영업겸용,아파트,연립주택,다세대주택,비주거용 건물 내 주택,주택,단독주택-계,단독주택-일반,단독주택-다가구,단독주택-영업겸용,아파트,연립주택,다세대주택,비주거용 건물 내 주택,주택,단독주택-계,단독주택-일반,단독주택-다가구,단독주택-영업겸용,아파트,연립주택,다세대주택,비주거용 건물 내 주택,주택,단독주택-계,단독주택-일반,단독주택-다가구,단독주택-영업겸용,아파트,연립주택,다세대주택,비주거용 건물 내 주택,주택,단독주택-계,단독주택-일반,단독주택-다가구,단독주택-영업겸용,아파트,연립주택,다세대주택,비주거용 건물 내 주택,주택,단독주택-계,단독주택-일반,단독주택-다가구,단독주택-영업겸용,아파트,연립주택,다세대주택,비주거용 건물 내 주택,주택,단독주택-계,단독주택-일반,단독주택-다가구,단독주택-영업겸용,아파트,연립주택,다세대주택,비주거용 건물 내 주택,주택,단독주택-계,단독주택-일반,단독주택-다가구,단독주택-영업겸용,아파트,연립주택,다세대주택,비주거용 건물 내 주택
"전국",16367006,3973961,2714279,865154,394528,9806062,485349,1898090,203544,16692230,3967776,2698092,853855,415829,10029644,492469,2000783,201558,17122573,3963072,2683979,839644,439449,10375363,502514,2072905,208719,17633327,3948984,2675516,829973,443495,10826044,508664,2139885,209750,18126954,3917683,2651613,820408,445662,11287048,514337,2194943,212943,18525844,3897729,2642821,808157,446751,11661851,521606,2230787,213871,18811627,3870987,2628637,793956,448394,11948544,526229,2253158,212709,19155585,3860997,2627158,783463,450376,12268973,530985,2283238,211392,19546299,3861380,2629249,780568,451563,12631608,538667,2303093,211551,19872674,3841487,2621805,771877,447805,12973943,542861,2302915,211468
"읍부",1614808,544351,467388,38561,38402,864404,66387,112764,26902,1673803,551606,469296,40028,42282,903764,68597,123194,26642,1749920,560283,473422,40975,45886,959130,71398,131130,27979,1862018,572652,482266,42704,47682,1040205,74587,145491,29083,1935259,574704,481814,44378,48512,1098180,78176,154284,29915,1992568,579820,485088,45182,49550,1142894,79981,159041,30832,2039859,582472,486650,45328,50494,1181768,81831,162367,31421,2050655,583479,487680,44749,51050,1210871,81057,143781,31467,2104639,585543,489195,44898,51450,1258865,82399,146187,31645,2176913,586641,490362,44896,51383,1327806,83683,147011,31772
"면부",1982064,1524970,1448705,32889,43376,334810,31485,61366,29433,2012868,1525378,1443556,34471,47351,359250,32994,65807,29439,2064742,1538966,1445203,35197,58566,389938,34592,70152,31094,2066655,1536624,1443002,35853,57769,396594,34705,68087,30645,2085214,1536714,1441246,37379,58089,412546,35780,69051,31123,2105345,1539804,1444361,37042,58401,427449,36565,69672,31855,2109096,1539067,1443036,37401,58630,430042,37039,70840,32108,2113084,1543756,1447798,37725,58233,426992,37634,72426,32276,2144674,1549545,1453149,37972,58424,451023,38155,73445,32506,2163044,1549610,1453444,38174,57992,467415,38756,74566,32697
"동부",12770134,1904640,798186,793704,312750,8606848,387477,1723960,147209,13005559,1890792,785240,779356,326196,8766630,390878,1811782,145477,13307911,1863823,765354,763472,334997,9026295,396524,1871623,149646,13704654,1839708,750248,751416,338044,9389245,399372,1926307,150022,14106481,1806265,728553,738651,339061,9776322,400381,1971608,151905,14427931,1778105,713372,725933,338800,10091508,405060,2002074,151184,14662672,1749448,698951,711227,339270,10336734,407359,2019951,149180,14991846,1733762,691680,700989,341093,10631110,412294,2067031,147649,15296986,1726292,686905,697698,341689,10921720,418113,2083461,147400,15532717,1705236,677999,688807,338430,11178722,420422,2081338,146999
"서울특별시",2793244,355039,88163,217616,49260,1636896,117235,654372,29702,2830857,345269,84680,209333,51256,1641383,116106,699446,28653,2866845,331863,78193,202108,51562,1665922,114352,724932,29776,2894078,322453,73510,197156,51787,1679639,112372,749971,29643,2953964,315566,68114,195448,52004,1720691,110968,777205,29534,3015371,307075,64911,190399,51765,1772670,110562,796066,28998,3068494,299473,62648,185338,51487,1818214,110239,812403,28165,3111323,293489,60861,181399,51229,1851242,110418,828773,27401,3155331,291582,59966,180233,51383,1886515,111038,838895,27301,3170332,286542,58667,177740,50135,1906060,110623,839901,27206
"부산광역시",1164352,225697,92919,102295,30483,738068,32120,154253,14214,1174034,220798,89663,99686,31449,750122,32073,157476,13565,1200422,214082,86132,95977,31973,776079,31542,164786,13933,1220782,208906,82904,94073,31929,798281,31081,168696,13818,1249757,202101,78212,92151,31738,831294,31073,171485,13804,1275859,196817,75433,90055,31329,860042,31112,174214,13674,1282831,190891,72340,87739,30812,872073,30330,176235,13302,1308294,188725,71726,86446,30553,898404,30256,177774,13135,1329355,187577,71255,85958,30364,920155,30289,178278,13056,1350452,184947,70227,84842,29878,943568,30360,178559,13018
"대구광역시",738100,155801,53507,74500,27794,509068,9381,53098,10752,761054,155568,52743,73823,29002,532090,9433,53440,10523,783895,154389,51495,73248,29646,555900,9440,53384,10782,792998,151964,49932,72377,29655,567543,9563,53216,10712,800340,147565,47782,70356,29427,579777,9438,52880,10680,809802,142457,45565,67900,28992,595392,9093,52492,10368,815588,138801,43864,66164,28773,605787,9068,51842,10090,834637,137208,43099,65440,28669,627191,8915,51403,9920,876286,146710,52246,65441,29023,658745,9112,51641,10078,903591,145719,51654,65161,28904,687156,9043,51628,10045
"인천광역시",942244,102914,56681,29051,17182,577346,21589,232346,8049,958072,102632,55787,29048,17797,588563,23268,235653,7956,969588,100868,54569,28326,17973,597929,25079,237716,7996,997959,100433,54907,27358,18168,624332,25984,238998,8212,1019365,97302,55935,23567,17800,648403,26309,238301,9050,1032774,95700,54674,23443,17583,661611,27704,238777,8982,1053451,94574,53956,23120,17498,683337,28734,237960,8846,1087837,93320,53199,22776,17345,717820,29807,238189,8701,1131300,93014,53147,22675,17192,760435,30986,238234,8631,1152762,90623,51869,21972,16782,785828,31383,236402,8526
