"시도별",2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2025,2025,2025,2025,2025
"시도별",평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원),평  균 (만원),초등학교 (만원),중학교 (만원),고등학교 (만원),일반고 (만원)
"전국",24.2,24.5,26.0,21.7,26.9,24.0,24.5,25.5,21.8,26.5,24.0,24.1,26.2,21.8,25.9,23.6,21.9,27.6,22.4,26.5,23.9,23.2,26.7,22.3,26.2,24.2,23.2,27.0,23.0,26.9,24.4,23.1,27.5,23.6,27.6,25.6,24.1,27.5,26.2,30.4,27.2,25.3,29.1,28.5,33.2,29.1,26.3,31.2,32.1,37.6,32.1,29.0,33.8,36.5,42.5,30.2,23.5,34.2,39.6,45.7,36.7,32.8,39.2,41.9,48.2,41.0,37.2,43.8,46.0,52.5,43.4,39.8,44.9,49.1,55.5,47.4,44.2,49.0,52.0,58.7,45.8,43.3,46.1,49.9,56.0
"서울특별시",33.1,30.5,32.6,37.7,43.3,32.1,29.6,30.9,37.2,42.0,32.8,30.4,31.8,37.4,42.7,31.2,26.1,34.0,36.1,41.1,32.8,28.4,34.9,37.1,42.7,33.5,30.0,34.9,37.1,42.1,33.8,29.6,35.5,38.3,43.6,35.2,29.9,37.0,41.7,47.0,39.1,34.1,41.7,44.5,51.8,41.1,36.5,41.5,48.4,56.6,45.1,38.5,46.3,55.6,65.2,45.3,35.1,49.2,60.5,69.8,52.9,47.3,52.6,63.4,73.5,59.6,53.6,60.5,70.3,79.5,62.8,56.7,62.2,74.7,84.0,67.3,60.9,69.1,76.9,85.2,66.3,60.1,66.4,76.7,83.9
"부산광역시",20.3,19.7,21.8,19.8,25.1,20.8,19.5,22.8,20.7,26.0,20.7,19.1,23.9,19.8,24.0,23.0,21.3,28.1,20.8,25.6,22.9,19.3,27.0,24.0,29.5,22.7,20.1,26.8,22.5,27.4,23.4,20.9,27.6,23.2,28.2,25.6,23.7,29.2,25.5,31.7,27.6,23.7,33.5,28.8,35.0,27.6,24.1,31.6,30.2,37.1,31.6,28.8,32.5,36.0,44.2,28.3,21.1,34.0,37.3,44.8,36.9,32.8,42.1,40.0,48.2,39.5,35.1,45.0,43.3,51.2,43.4,40.9,46.4,45.8,53.4,48.3,46.2,51.8,48.7,57.5,45.6,45.3,47.4,44.0,52.3
"대구광역시",25.1,25.3,29.1,20.6,23.5,25.0,23.2,31.2,21.8,24.0,24.4,22.0,30.4,22.2,24.1,24.8,24.0,28.5,22.5,26.8,24.2,21.9,26.7,24.9,29.9,24.2,22.1,26.7,24.9,30.4,24.4,21.8,26.8,25.8,31.4,26.5,25.4,26.3,28.1,33.9,30.0,28.4,30.6,31.9,38.5,30.3,27.7,33.2,31.8,38.2,32.9,29.5,34.2,37.5,45.4,29.0,21.3,34.4,38.1,45.9,40.0,37.4,42.2,42.7,50.4,43.7,40.4,46.9,47.3,56.4,45.9,42.2,50.6,48.5,56.1,47.8,45.8,48.6,50.9,60.1,44.7,40.8,47.4,49.0,57.7
"인천광역시",22.1,23.1,21.3,21.1,25.3,22.0,23.3,22.0,19.8,24.5,21.4,21.8,21.9,20.2,23.7,20.3,18.3,22.7,20.9,24.7,20.8,20.3,21.9,20.6,25.2,21.1,20.4,22.6,20.9,25.8,21.3,20.3,22.9,21.6,26.8,23.2,23.5,23.6,22.3,26.9,25.1,25.2,22.8,27.1,33.0,27.7,24.5,30.0,31.4,38.9,31.3,27.8,33.4,36.3,44.3,30.1,24.3,32.9,39.4,48.0,34.4,29.8,38.9,39.1,46.0,38.6,35.1,39.7,44.9,52.7,42.4,39.2,42.6,48.9,56.3,45.9,42.4,47.7,50.8,58.2,43.8,39.8,44.6,50.5,58.2
"광주광역시",20.9,23.0,22.8,15.1,18.5,21.3,23.4,23.6,15.2,18.1,21.6,22.9,25.2,15.9,19.0,23.1,25.2,27.3,15.8,18.3,23.9,25.9,28.0,17.3,20.3,23.1,23.6,27.3,18.5,21.4,22.8,23.3,27.2,18.2,20.8,22.8,22.6,25.1,21.2,24.7,24.5,23.9,27.6,23.1,26.3,26.2,25.2,31.0,23.7,27.0,27.6,24.3,31.9,29.7,33.9,29.9,26.3,33.2,33.7,38.9,32.0,27.4,37.4,35.6,40.8,35.6,31.0,41.4,38.7,44.0,39.6,37.7,42.7,40.2,45.5,41.3,37.8,45.1,43.9,50.0,37.2,34.6,37.8,41.3,46.3
"대전광역시",23.4,24.9,21.7,22.5,26.8,23.8,25.4,22.1,22.7,26.9,23.4,24.3,22.3,23.0,27.3,24.3,23.0,26.5,24.4,28.0,25.9,25.7,29.0,23.2,26.9,25.7,26.1,27.1,23.7,28.3,25.4,25.3,27.3,24.0,28.5,25.7,25.3,29.0,23.4,27.8,27.6,28.3,24.7,28.9,33.7,27.0,24.0,29.3,30.2,35.7,31.1,27.9,31.7,36.4,42.5,30.2,22.7,34.9,39.7,46.3,36.4,34.1,35.3,41.9,47.0,38.9,37.0,41.1,40.2,46.1,41.0,38.1,40.9,46.7,51.9,45.7,41.0,48.4,51.4,58.1,44.3,42.2,43.8,48.6,54.9
"울산광역시",23.4,25.1,24.7,19.0,23.1,23.1,23.4,24.0,21.6,26.7,22.9,22.3,27.2,19.6,23.6,22.4,21.0,25.7,21.4,24.3,22.4,21.5,26.2,20.2,24.0,22.2,21.2,25.4,20.6,24.6,21.9,20.5,26.2,20.2,24.3,23.9,23.6,25.5,22.9,27.0,23.6,21.7,26.1,24.6,29.3,26.5,25.1,29.1,26.8,31.4,27.4,24.8,30.3,30.2,35.4,25.4,19.7,31.0,32.1,37.3,30.0,26.7,34.0,33.1,38.0,36.7,35.4,39.3,36.7,42.6,36.8,35.9,36.5,39.1,44.7,39.9,38.0,42.8,40.5,45.3,39.8,37.1,43.9,40.3,45.4
