,시도별,연도,합계출산율
126,전국,2000,1.480
127,서울특별시,2000,1.275
128,부산광역시,2000,1.235
129,대구광역시,2000,1.378
130,인천광역시,2000,1.473
131,광주광역시,2000,1.636
132,대전광역시,2000,1.501
133,울산광역시,2000,1.633
134,세종특별자치시,2000,-
135,경기도,2000,1.628
136,강원특별자치도,2000,1.600
137,충청북도,2000,1.583
138,충청남도,2000,1.698
139,전북특별자치도,2000,1.595
140,전라남도,2000,1.750
141,경상북도,2000,1.578
142,경상남도,2000,1.586
143,제주특별자치도,2000,1.783
144,전국,2001,1.309
145,서울특별시,2001,1.111
146,부산광역시,2001,1.103
147,대구광역시,2001,1.216
148,인천광역시,2001,1.324
149,광주광역시,2001,1.421
150,대전광역시,2001,1.330
151,울산광역시,2001,1.423
152,세종특별자치시,2001,-
153,경기도,2001,1.437
154,강원특별자치도,2001,1.413
155,충청북도,2001,1.426
156,충청남도,2001,1.532
157,전북특별자치도,2001,1.426
158,전라남도,2001,1.566
159,경상북도,2001,1.402
160,경상남도,2001,1.417
161,제주특별자치도,2001,1.564
162,전국,2002,1.178
163,서울특별시,2002,1.006
164,부산광역시,2002,0.975
165,대구광역시,2002,1.076
166,인천광역시,2002,1.185
167,광주광역시,2002,1.264
168,대전광역시,2002,1.207
169,울산광역시,2002,1.242
170,세종특별자치시,2002,-
171,경기도,2002,1.305
172,강원특별자치도,2002,1.317
173,충청북도,2002,1.294
174,충청남도,2002,1.361
175,전북특별자치도,2002,1.275
176,전라남도,2002,1.391
177,경상북도,2002,1.232
178,경상남도,2002,1.272
179,제주특별자치도,2002,1.394
180,전국,2003,1.191
181,서울특별시,2003,1.014
182,부산광역시,2003,0.988
183,대구광역시,2003,1.116
184,인천광역시,2003,1.213
185,광주광역시,2003,1.278
186,대전광역시,2003,1.221
187,울산광역시,2003,1.280
188,세종특별자치시,2003,-
189,경기도,2003,1.321
190,강원특별자치도,2003,1.279
191,충청북도,2003,1.270
192,충청남도,2003,1.358
193,전북특별자치도,2003,1.274
194,전라남도,2003,1.389
195,경상북도,2003,1.253
196,경상남도,2003,1.290
197,제주특별자치도,2003,1.438
198,전국,2004,1.164
199,서울특별시,2004,1.015
200,부산광역시,2004,0.953
201,대구광역시,2004,1.087
202,인천광역시,2004,1.158
203,광주광역시,2004,1.203
204,대전광역시,2004,1.181
205,울산광역시,2004,1.241
206,세종특별자치시,2004,-
207,경기도,2004,1.280
208,강원특별자치도,2004,1.261
209,충청북도,2004,1.272
210,충청남도,2004,1.357
211,전북특별자치도,2004,1.239
212,전라남도,2004,1.360
213,경상북도,2004,1.203
214,경상남도,2004,1.266
215,제주특별자치도,2004,1.365
216,전국,2005,1.085
217,서울특별시,2005,0.932
218,부산광역시,2005,0.887
219,대구광역시,2005,1.001
220,인천광역시,2005,1.075
221,광주광역시,2005,1.105
222,대전광역시,2005,1.107
223,울산광역시,2005,1.186
224,세종특별자치시,2005,-
225,경기도,2005,1.183
226,강원특별자치도,2005,1.188
227,충청북도,2005,1.195
228,충청남도,2005,1.267
229,전북특별자치도,2005,1.184
230,전라남도,2005,1.290
231,경상북도,2005,1.173
232,경상남도,2005,1.189
233,제주특별자치도,2005,1.310
234,전국,2006,1.132
235,서울특별시,2006,0.980
236,부산광역시,2006,0.915
237,대구광역시,2006,1.011
238,인천광역시,2006,1.116
239,광주광역시,2006,1.152
240,대전광역시,2006,1.158
241,울산광역시,2006,1.242
242,세종특별자치시,2006,-
243,경기도,2006,1.239
244,강원특별자치도,2006,1.202
245,충청북도,2006,1.233
246,충청남도,2006,1.356
247,전북특별자치도,2006,1.213
248,전라남도,2006,1.337
249,경상북도,2006,1.208
250,경상남도,2006,1.254
251,제주특별자치도,2006,1.372
252,전국,2007,1.259
253,서울특별시,2007,1.068
254,부산광역시,2007,1.024
255,대구광역시,2007,1.137
256,인천광역시,2007,1.257
257,광주광역시,2007,1.262
258,대전광역시,2007,1.274
259,울산광역시,2007,1.403
260,세종특별자치시,2007,-
261,경기도,2007,1.361
262,강원특별자치도,2007,1.356
263,충청북도,2007,1.398
264,충청남도,2007,1.506
265,전북특별자치도,2007,1.380
266,전라남도,2007,1.542
267,경상북도,2007,1.369
268,경상남도,2007,1.434
269,제주특별자치도,2007,1.489
270,전국,2008,1.192
271,서울특별시,2008,1.010
272,부산광역시,2008,0.980
273,대구광역시,2008,1.072
274,인천광역시,2008,1.186
275,광주광역시,2008,1.198
276,대전광역시,2008,1.215
277,울산광역시,2008,1.338
278,세종특별자치시,2008,-
279,경기도,2008,1.285
280,강원특별자치도,2008,1.253
281,충청북도,2008,1.319
282,충청남도,2008,1.444
283,전북특별자치도,2008,1.305
284,전라남도,2008,1.449
285,경상북도,2008,1.313
286,경상남도,2008,1.368
287,제주특별자치도,2008,1.386
288,전국,2009,1.149
289,서울특별시,2009,0.962
290,부산광역시,2009,0.940
291,대구광역시,2009,1.029
292,인천광역시,2009,1.143
293,광주광역시,2009,1.137
294,대전광역시,2009,1.156
295,울산광역시,2009,1.308
296,세종특별자치시,2009,-
297,경기도,2009,1.226
298,강원특별자치도,2009,1.248
299,충청북도,2009,1.317
300,충청남도,2009,1.408
301,전북특별자치도,2009,1.279
302,전라남도,2009,1.445
303,경상북도,2009,1.274
304,경상남도,2009,1.323
305,제주특별자치도,2009,1.378
306,전국,2010,1.226
307,서울특별시,2010,1.015
308,부산광역시,2010,1.045
309,대구광역시,2010,1.109
310,인천광역시,2010,1.214
311,광주광역시,2010,1.223
312,대전광역시,2010,1.205
313,울산광역시,2010,1.369
314,세종특별자치시,2010,-
315,경기도,2010,1.309
316,강원특별자치도,2010,1.313
317,충청북도,2010,1.402
318,충청남도,2010,1.479
319,전북특별자치도,2010,1.374
320,전라남도,2010,1.537
321,경상북도,2010,1.377
322,경상남도,2010,1.413
323,제주특별자치도,2010,1.463
324,전국,2011,1.244
325,서울특별시,2011,1.014
326,부산광역시,2011,1.078
327,대구광역시,2011,1.146
328,인천광역시,2011,1.232
329,광주광역시,2011,1.234
330,대전광역시,2011,1.261
331,울산광역시,2011,1.393
332,세종특별자치시,2011,-
333,경기도,2011,1.314
334,강원특별자치도,2011,1.338
335,충청북도,2011,1.428
336,충청남도,2011,1.496
337,전북특별자치도,2011,1.405
338,전라남도,2011,1.568
339,경상북도,2011,1.434
340,경상남도,2011,1.446
341,제주특별자치도,2011,1.487
342,전국,2012,1.297
343,서울특별시,2012,1.059
344,부산광역시,2012,1.135
